Locus	Representative_gene_model	Symbol	Q_val_up	Description
AT3G10080	AT3G10080.1	""	NA	RmlC-like cupins superfamily protein
AT3G10090	AT3G10090.1	""	NA	Nucleic acid-binding, OB-fold-like protein
AT3G10110	AT3G10110.1	MEE67	1	Mitochondrial import inner membrane translocase subunit Tim17/Tim22/Tim23 family protein
AT3G10113	AT3G10113.1	""	NA	Homeodomain-like superfamily protein
AT3G10116	AT3G10116.1	""	NA	COBRA-like extracellular glycosyl-phosphatidyl inositol-anchored protein family
AT3G10120	AT3G10120.1	""	NA	hypothetical protein
AT3G10130	AT3G10130.1	""	1	SOUL heme-binding family protein
AT3G10140	AT3G10140.1	RECA3	1	RECA homolog 3
AT3G10150	AT3G10150.1	ATPAP16	1	purple acid phosphatase 16
AT3G10160	AT3G10160.1	ATDFC	0.039895	DHFS-FPGS homolog C
AT3G10180	AT3G10180.1	""	1	P-loop containing nucleoside triphosphate hydrolases superfamily protein
AT3G10185	AT3G10185.1	""	NA	Gibberellin-regulated family protein
AT3G10190	AT3G10190.1	CML36	NA	Calcium-binding EF-hand family protein
AT3G10195	AT3G10195.1	""	NA	Putative membrane lipoprotein
AT3G10200	AT3G10200.1	""	NA	S-adenosyl-L-methionine-dependent methyltransferases superfamily protein
AT3G10210	AT3G10210.1	""	1	SEC14 cytosolic factor family protein / phosphoglyceride transfer family protein
AT3G10220	AT3G10220.1	EMB2804	NA	tubulin folding cofactor B
AT3G10230	AT3G10230.1	AtLCY	1	lycopene cyclase
AT3G10240	AT3G10240.1	""	NA	F-box and associated interaction domains-containing protein
AT3G10250	AT3G10250.1	""	1	histidine-tRNA ligase
AT3G10260	AT3G10260.3	RTNLB8	0.001593	Reticulon family protein
AT3G10270	AT3G10270.1	GYRB1	1	DNA gyrase subunit B
AT3G10280	AT3G10280.1	KCS14	NA	3-ketoacyl-CoA synthase 14
AT3G10290	AT3G10290.1	""	NA	Nucleotide-sugar transporter family protein
AT3G10300	AT3G10300.3	""	1	Calcium-binding EF-hand family protein
AT3G10310	AT3G10310.1	""	NA	P-loop nucleoside triphosphate hydrolases superfamily protein with CH (Calponin Homology) domain-containing protein
AT3G10320	AT3G10320.1	MUCI21	NA	Glycosyltransferase family 61 protein
AT3G10330	AT3G10330.1	AtTFIIB2	NA	Cyclin-like family protein
AT3G10340	AT3G10340.1	PAL4	1	phenylalanine ammonia-lyase 4
AT3G10350	AT3G10350.2	AtGET3b	7.7e-05	P-loop containing nucleoside triphosphate hydrolases superfamily protein
AT3G10360	AT3G10360.1	APUM4	NA	pumilio 4
AT3G10370	AT3G10370.1	SDP6	NA	FAD-dependent oxidoreductase family protein
AT3G10380	AT3G10380.1	ATSEC8	0.0891	subunit of exocyst complex 8
AT3G10390	AT3G10390.1	FLD	1	protein FLOWERING locus D-like protein
AT3G10400	AT3G10400.1	U11/U12-31K	NA	RNA recognition motif and CCHC-type zinc finger domains containing protein
AT3G10405	AT3G10405.1	""	1	vacuolar acid trehalase
AT3G10410	AT3G10410.1	CPY	7.7e-05	SERINE CARBOXYPEPTIDASE-LIKE 49
AT3G10420	AT3G10420.2	SPD1	0.898575	P-loop containing nucleoside triphosphate hydrolases superfamily protein
AT3G10430	AT3G10430.1	""	NA	F-box and associated interaction domains-containing protein
AT3G10439	AT3G10439.1	""	NA	hypothetical protein
AT3G10440	AT3G10440.1	AtSGO1	1	Shugoshin C terminus
AT3G10450	AT3G10450.1	SCPL7	0.459759	serine carboxypeptidase-like 7
AT3G10460	AT3G10460.1	""	NA	Plant self-incompatibility protein S1 family
AT3G10470	AT3G10470.1	""	NA	C2H2-type zinc finger family protein
AT3G10480	AT3G10480.3	ANAC050	0.87086	NAC domain containing protein 50
AT3G10490	AT3G10490.2	ANAC051	0.713406	NAC domain containing protein 52
AT3G10500	AT3G10500.1	AIF	1	NAC domain containing protein 53
AT3G10510	AT3G10510.1	""	NA	Galactose oxidase/kelch repeat superfamily protein
AT3G10520	AT3G10520.1	AHB2	NA	hemoglobin 2
AT3G10525	AT3G10525.1	LGO	NA	LOSS OF GIANT CELLS FROM ORGANS
AT3G10530	AT3G10530.1	""	NA	Transducin/WD40 repeat-like superfamily protein
AT3G10540	AT3G10540.1	""	0.900963	3-phosphoinositide-dependent protein kinase
AT3G10550	AT3G10550.1	AtMTM1	1	Myotubularin-like phosphatases II superfamily
AT3G10560	AT3G10560.1	CYP77A7	NA	Cytochrome P450 superfamily protein
AT3G10570	AT3G10570.1	CYP77A6	NA	cytochrome P450, family 77, subfamily A, polypeptide 6
AT3G10572	AT3G10572.1	APEM9	1	3-phosphoinositide-dependent protein kinase-1
AT3G10580	AT3G10580.1	""	NA	Homeodomain-like superfamily protein
AT3G10585	AT3G10585.1	""	NA	Homeodomain-like superfamily protein
AT3G10590	AT3G10590.1	""	NA	Duplicated homeodomain-like superfamily protein
AT3G10595	AT3G10595.1	""	NA	Duplicated homeodomain-like superfamily protein
AT3G10600	AT3G10600.1	CAT7	NA	cationic amino acid transporter 7
AT3G10610	AT3G10610.1	""	NA	Ribosomal S17 family protein
AT3G10620	AT3G10620.1	ATNUDX26	7.7e-05	nudix hydrolase homolog 26
AT3G10630	AT3G10630.1	""	NA	UDP-Glycosyltransferase superfamily protein
AT3G10640	AT3G10640.1	VPS60.1	1	SNF7 family protein
AT3G10650	AT3G10650.1	AtNUP1	1	nuclear pore complex protein
AT3G10660	AT3G10660.1	ATCPK2	NA	calmodulin-domain protein kinase cdpk isoform 2
AT3G10670	AT3G10670.1	ABCI6	0.493806	non-intrinsic ABC protein 7
AT3G10680	AT3G10680.1	SLI1	NA	HSP20-like chaperones superfamily protein
AT3G10690	AT3G10690.1	GYRA	0.330655	DNA GYRASE A
AT3G10700	AT3G10700.1	GalAK	0.689872	galacturonic acid kinase
AT3G10710	AT3G10710.1	RHS12	NA	root hair specific 12
AT3G10720	AT3G10720.2	""	0.635891	Plant invertase/pectin methylesterase inhibitor superfamily
AT3G10730	AT3G10730.1	ATSUN2	NA	SAD1/UNC-84 domain protein 2
AT3G10740	AT3G10740.1	ARAF	NA	alpha-L-arabinofuranosidase 1
AT3G10750	AT3G10750.1	""	NA	FBD domain family
AT3G10760	AT3G10760.1	""	1	Homeodomain-like superfamily protein
AT3G10770	AT3G10770.1	""	0.899361	Single-stranded nucleic acid binding R3H protein
AT3G10780	AT3G10780.1	""	NA	emp24/gp25L/p24 family/GOLD family protein
AT3G10790	AT3G10790.1	""	NA	F-box associated ubiquitination effector family protein
AT3G10800	AT3G10800.1	BZIP28	NA	Basic-leucine zipper (bZIP) transcription factor family protein
AT3G10810	AT3G10810.1	""	1	zinc finger (C3HC4-type RING finger) family protein
AT3G10815	AT3G10815.1	""	1	RING/U-box superfamily protein
AT3G10820	AT3G10820.2	""	0.434079	Transcription elongation factor (TFIIS) family protein
AT3G10840	AT3G10840.1	""	1	alpha/beta-Hydrolases superfamily protein
AT3G10845	AT3G10845.1	""	NA	RNA-binding (RRM/RBD/RNP motifs) family protein
AT3G10850	AT3G10850.1	GLX2-2	7.7e-05	Metallo-hydrolase/oxidoreductase superfamily protein
AT3G10860	AT3G10860.1	""	1	Cytochrome b-c1 complex, subunit 8 protein
AT3G10870	AT3G10870.1	ATMES17	NA	methyl esterase 17
AT3G10880	AT3G10880.1	""	1	tropomyosin
AT3G10890	AT3G10890.1	MAN3	NA	Glycosyl hydrolase superfamily protein
AT3G10900	AT3G10900.1	""	NA	Glycosyl hydrolase superfamily protein
AT3G10910	AT3G10910.1	DAFL1	NA	RING/U-box superfamily protein
AT3G10915	AT3G10915.5	""	1	Reticulon family protein
AT3G10920	AT3G10920.1	ATMSD1	1	manganese superoxide dismutase 1
AT3G10930	AT3G10930.1	IDL7	NA	hypothetical protein
AT3G10940	AT3G10940.1	LSF2	NA	dual specificity protein phosphatase (DsPTP1) family protein
AT3G10950	AT3G10950.1	""	NA	Zinc-binding ribosomal protein family protein
AT3G10960	AT3G10960.1	ATAZG1	NA	AZA-guanine resistant1
AT3G10970	AT3G10970.1	""	0.004749	Haloacid dehalogenase-like hydrolase (HAD) superfamily protein
AT3G10974	AT3G10974.1	""	NA	hypothetical protein
AT3G10980	AT3G10980.1	""	0.646921	PLAC8 family protein
AT3G10985	AT3G10985.1	ATWI-12	NA	senescence associated gene 20
AT3G10986	AT3G10986.1	""	NA	LURP-one-like protein (DUF567)
AT3G10990	AT3G10990.1	""	NA	F-box associated ubiquitination effector family protein
AT3G11000	AT3G11000.2	""	NA	DCD (Development and Cell Death) domain protein
AT3G11010	AT3G11010.1	AtRLP34	1	receptor like protein 34
AT3G11020	AT3G11020.1	DREB2	NA	DRE/CRT-binding protein 2B
AT3G11030	AT3G11030.1	TBL32	1	TRICHOME BIREFRINGENCE-LIKE 32
AT3G11040	AT3G11040.1	AtENGase85B	1	Glycosyl hydrolase family 85
AT3G11050	AT3G11050.1	ATFER2	NA	ferritin 2
AT3G11060	AT3G11060.1	""	NA	transmembrane protein
AT3G11070	AT3G11070.1	""	1	Outer membrane OMP85 family protein
AT3G11080	AT3G11080.1	AtRLP35	NA	receptor like protein 35
AT3G11090	AT3G11090.1	LBD21	NA	LOB domain-containing protein 21
AT3G11100	AT3G11100.1	ENAP1	NA	sequence-specific DNA binding transcription factor
AT3G11110	AT3G11110.1	""	NA	RING/U-box superfamily protein
AT3G11120	AT3G11120.1	""	NA	Ribosomal protein L41 family
AT3G11130	AT3G11130.1	AtCHC1	1	Clathrin, heavy chain
AT3G11150	AT3G11150.1	""	1	2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein
AT3G11160	AT3G11160.1	""	NA	transmembrane protein
AT3G11165	AT3G11165.1	""	0.956783	hypothetical protein
AT3G11170	AT3G11170.1	AtFAD7	1	fatty acid desaturase 7
AT3G11180	AT3G11180.2	JAO 1	NA	2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein
AT3G11200	AT3G11200.1	AL2	1	alfin-like 2
AT3G11210	AT3G11210.1	""	NA	SGNH hydrolase-type esterase superfamily protein
AT3G11220	AT3G11220.2	AtELP4	NA	Paxneb protein-like protein
AT3G11230	AT3G11230.2	""	0.103399	Yippee family putative zinc-binding protein
AT3G11240	AT3G11240.1	ATATE2	NA	arginine-tRNA protein transferase 2
AT3G11250	AT3G11250.1	""	NA	Ribosomal protein L10 family protein
AT3G11260	AT3G11260.1	WOX5	NA	WUSCHEL related homeobox 5
AT3G11270	AT3G11270.1	MEE34	0.874659	Mov34/MPN/PAD-1 family protein
AT3G11280	AT3G11280.1	""	1	Duplicated homeodomain-like superfamily protein
AT3G11290	AT3G11290.1	""	1	Myb/SANT-like DNA-binding domain protein
AT3G11300	AT3G11300.1	""	NA	hypothetical protein
AT3G11310	AT3G11310.1	""	NA	Myb/SANT-like DNA-binding domain protein
AT3G11320	AT3G11320.1	""	NA	Nucleotide-sugar transporter family protein
AT3G11325	AT3G11325.1	""	NA	Phospholipid/glycerol acyltransferase family protein
AT3G11330	AT3G11330.1	PIRL9	NA	plant intracellular ras group-related LRR 9
AT3G11340	AT3G11340.1	UGT76B1	1	UDP-Glycosyltransferase superfamily protein
AT3G11350	AT3G11350.1	""	NA	Pentatricopeptide repeat (PPR) superfamily protein
AT3G11370	AT3G11370.1	""	1	Cysteine/Histidine-rich C1 domain family protein
AT3G11380	AT3G11380.1	""	NA	Pentatricopeptide repeat (PPR) superfamily protein
AT3G11385	AT3G11385.1	""	NA	Cysteine/Histidine-rich C1 domain family protein
AT3G11390	AT3G11390.1	""	NA	Cysteine/Histidine-rich C1 domain family protein
AT3G11397	AT3G11397.1	PRA1.A3	1	prenylated RAB acceptor 1.A3
AT3G11400	AT3G11400.2	ATEIF3G1	NA	eukaryotic translation initiation factor 3G1
AT3G11402	AT3G11402.1	""	1	Cysteine/Histidine-rich C1 domain family protein
AT3G11405	AT3G11405.1	""	NA	hypothetical protein
AT3G11410	AT3G11410.1	AHG3	NA	protein phosphatase 2CA
AT3G11420	AT3G11420.1	""	NA	beta-1,3-N-acetylglucosaminyltransferase lunatic protein, putative (DUF604)
AT3G11430	AT3G11430.1	ATGPAT5	NA	glycerol-3-phosphate acyltransferase 5
AT3G11440	AT3G11440.1	ATMYB65	NA	myb domain protein 65
AT3G11450	AT3G11450.1	AtGlsA1	1	DnaJ and Myb-like DNA-binding domain-containing protein
AT3G11460	AT3G11460.1	MEF10	NA	Pentatricopeptide repeat (PPR) superfamily protein
AT3G11470	AT3G11470.2	PPT	0.802732	4-phosphopantetheinyl transferase superfamily
AT3G11480	AT3G11480.1	ATBSMT1	NA	S-adenosyl-L-methionine-dependent methyltransferases superfamily protein
AT3G11490	AT3G11490.1	ROPGAP4	NA	rac GTPase activating protein
AT3G11500	AT3G11500.1	""	NA	Small nuclear ribonucleoprotein family protein
AT3G11510	AT3G11510.1	""	NA	Ribosomal protein S11 family protein
AT3G11520	AT3G11520.1	CYC2	NA	CYCLIN B1
AT3G11530	AT3G11530.1	""	1	Vacuolar protein sorting 55 (VPS55) family protein
AT3G11540	AT3G11540.1	SPY	NA	Tetratricopeptide repeat (TPR)-like superfamily protein
AT3G11550	AT3G11550.1	CASP2	NA	Uncharacterized protein family (UPF0497)
AT3G11560	AT3G11560.2	""	0.000143	LETM1-like protein
AT3G11570	AT3G11570.1	TBL8	1	TRICHOME BIREFRINGENCE-LIKE 8
AT3G11580	AT3G11580.1	NGAL2	1	AP2/B3-like transcriptional factor family protein
AT3G11590	AT3G11590.1	""	NA	golgin family A protein
AT3G11591	AT3G11591.1	""	NA	bric-a-brac protein
AT3G11600	AT3G11600.1	GIR2	NA	E3 ubiquitin-protein ligase
AT3G11620	AT3G11620.2	""	1	alpha/beta-Hydrolases superfamily protein
AT3G11630	AT3G11630.1	2CPA	1	Thioredoxin superfamily protein
AT3G11640	AT3G11640.1	""	NA	transmembrane protein
AT3G11650	AT3G11650.1	NHL2	NA	NDR1/HIN1-like 2
AT3G11660	AT3G11660.1	NHL1	NA	NDR1/HIN1-like 1
AT3G11670	AT3G11670.1	DGD1	1	UDP-Glycosyltransferase superfamily protein
AT3G11680	AT3G11680.1	""	NA	aluminum activated malate transporter family protein
AT3G11690	AT3G11690.1	""	NA	hypothetical protein
AT3G11700	AT3G11700.1	FLA18	0.884868	FASCICLIN-like arabinogalactan protein 18 precursor
AT3G11710	AT3G11710.1	ATKRS-1	1	lysyl-tRNA synthetase 1
AT3G11720	AT3G11720.3	""	0.238321	Polyketide cyclase/dehydrase and lipid transport superfamily protein
AT3G11730	AT3G11730.1	ATFP8	NA	Ras-related small GTP-binding family protein
AT3G11740	AT3G11740.1	""	NA	LURP-one-like protein (DUF567)
AT3G11745	AT3G11745.1	""	1	transmembrane protein
AT3G11750	AT3G11750.1	FOLB1	0.087424	Dihydroneopterin aldolase
AT3G11760	AT3G11760.1	""	NA	structural maintenance of chromosomes flexible hinge domain protein
AT3G11770	AT3G11770.1	RICE1	NA	Polynucleotidyl transferase, ribonuclease H-like superfamily protein
AT3G11773	AT3G11773.2	""	NA	Thioredoxin superfamily protein
AT3G11780	AT3G11780.2	""	NA	MD-2-related lipid recognition domain-containing protein / ML domain-containing protein
AT3G11800	AT3G11800.1	""	NA	Expp1 protein
AT3G11810	AT3G11810.1	""	1	transmembrane protein
AT3G11820	AT3G11820.1	AT-SYR1	0.008031	syntaxin of plants 121
AT3G11825	AT3G11825.1	""	NA	Bifunctional inhibitor/lipid-transfer protein/seed storage 2S albumin superfamily protein
AT3G11830	AT3G11830.1	""	NA	TCP-1/cpn60 chaperonin family protein
AT3G11840	AT3G11840.1	PUB24	NA	E3 ubiquitin-protein ligase PUB24-like protein
AT3G11850	AT3G11850.1	""	NA	myosin-binding protein (Protein of unknown function, DUF593)
AT3G11860	AT3G11860.1	""	NA	sterile alpha motif (SAM) domain protein
AT3G11870	AT3G11870.1	""	NA	Endoribonuclease/protein kinase IRE1-like protein
AT3G11880	AT3G11880.1	""	1	transmembrane protein, putative (Protein of unknown function DUF2359, transmembrane)
AT3G11890	AT3G11890.2	""	1	Sterile alpha motif (SAM) domain-containing protein
AT3G11900	AT3G11900.1	ANT1	NA	aromatic and neutral transporter 1
AT3G11910	AT3G11910.1	AtUBP13	0.706907	ubiquitin-specific protease 13
AT3G11920	AT3G11920.1	""	NA	glutaredoxin-like protein
AT3G11930	AT3G11930.3	""	1	Adenine nucleotide alpha hydrolases-like superfamily protein
AT3G11940	AT3G11940.1	AML1	1	ribosomal protein 5A
AT3G11945	AT3G11945.2	ATHST	0.005948	homogentisate prenyltransferase
AT3G11950	AT3G11950.1	""	1	TRAF-like superfamily protein
AT3G11960	AT3G11960.1	""	0.024907	Cleavage and polyadenylation specificity factor (CPSF) A subunit protein
AT3G11964	AT3G11964.1	RRP5	1	RIBOSOMAL RNA PROCESSING 5
AT3G11980	AT3G11980.1	FAR2	NA	Jojoba acyl CoA reductase-related male sterility protein
AT3G11990	AT3G11990.1	""	NA	ECA1 gametogenesis family protein (DUF784)
AT3G12000	AT3G12000.1	""	NA	S-locus related protein SLR1, putative (S1)
AT3G12010	AT3G12010.1	""	1	C18orf8
AT3G12020	AT3G12020.2	Kin7.3	1	P-loop containing nucleoside triphosphate hydrolases superfamily protein
AT3G12030	AT3G12030.1	""	NA	transmembrane/coiled-coil protein (Protein of unknown function DUF106, transmembrane)
AT3G12040	AT3G12040.1	""	1	DNA-3-methyladenine glycosylase (MAG)
AT3G12050	AT3G12050.1	""	NA	Aha1 domain-containing protein
AT3G12060	AT3G12060.1	TBL1	NA	trichome birefringence-like protein (DUF828)
AT3G12070	AT3G12070.1	AtRGTB2	1	RAB geranylgeranyl transferase beta subunit 2
AT3G12080	AT3G12080.1	emb2738	0.132462	GTP-binding family protein
AT3G12090	AT3G12090.1	TET6	1	tetraspanin6
AT3G12100	AT3G12100.1	AtMTP5	0.260778	Cation efflux family protein
AT3G12110	AT3G12110.1	ACT11	NA	actin-11
AT3G12120	AT3G12120.1	AtFAD2	NA	fatty acid desaturase 2
AT3G12130	AT3G12130.1	KHZ1	1	KH domain-containing protein / zinc finger (CCCH type) family protein
AT3G12140	AT3G12140.3	AtEML1	0.854452	Emsy N Terminus (ENT)/ plant Tudor-like domains-containing protein
AT3G12145	AT3G12145.1	FLR1	NA	Leucine-rich repeat (LRR) family protein
AT3G12150	AT3G12150.1	""	0.092067	alpha/beta hydrolase family protein
AT3G12160	AT3G12160.1	ATRABA4D	NA	RAB GTPase homolog A4D
AT3G12170	AT3G12170.1	""	0.87803	Chaperone DnaJ-domain superfamily protein
AT3G12180	AT3G12180.1	""	NA	Cornichon family protein
AT3G12190	AT3G12190.1	""	NA	golgin family A protein
AT3G12200	AT3G12200.2	AtNek7	1	NIMA-related kinase 7
AT3G12203	AT3G12203.1	scpl17	NA	serine carboxypeptidase-like 17
AT3G12210	AT3G12210.2	""	1	DNA binding protein
AT3G12220	AT3G12220.1	scpl16	1	serine carboxypeptidase-like 16
AT3G12230	AT3G12230.1	scpl14	NA	serine carboxypeptidase-like 14
AT3G12240	AT3G12240.1	SCPL15	NA	serine carboxypeptidase-like 15
AT3G12250	AT3G12250.4	BZIP45	1	TGACG motif-binding factor 6
AT3G12260	AT3G12260.1	""	NA	LYR family of Fe/S cluster biogenesis protein
AT3G12270	AT3G12270.1	ATPRMT3	NA	protein arginine methyltransferase 3
AT3G12280	AT3G12280.1	ATRBR1	1	retinoblastoma-related 1
AT3G12290	AT3G12290.1	MTHFD1	7.7e-05	Amino acid dehydrogenase family protein
AT3G12300	AT3G12300.1	AtBUG22	0.579301	cilia/flagella-associated protein
AT3G12320	AT3G12320.1	LNK3	NA	hypothetical protein
AT3G12340	AT3G12340.1	""	NA	FKBP-like peptidyl-prolyl cis-trans isomerase family protein
AT3G12345	AT3G12345.1	""	NA	FKBP-type peptidyl-prolyl cis-trans isomerase
AT3G12350	AT3G12350.1	""	0.159298	F-box family protein
AT3G12360	AT3G12360.1	ITN1	NA	Ankyrin repeat family protein
AT3G12370	AT3G12370.1	""	NA	Ribosomal protein L10 family protein
AT3G12380	AT3G12380.2	ARP5	0.990612	actin-related protein 5
AT3G12390	AT3G12390.1	""	1	Nascent polypeptide-associated complex (NAC), alpha subunit family protein
AT3G12400	AT3G12400.1	ATELC	1	Ubiquitin-conjugating enzyme/RWD-like protein
AT3G12410	AT3G12410.1	""	NA	Polynucleotidyl transferase, ribonuclease H-like superfamily protein
AT3G12420	AT3G12420.1	""	NA	Polynucleotidyl transferase, ribonuclease H-like superfamily protein
AT3G12430	AT3G12430.1	""	NA	Polynucleotidyl transferase, ribonuclease H-like superfamily protein
AT3G12440	AT3G12440.1	""	NA	Polynucleotidyl transferase, ribonuclease H-like superfamily protein
AT3G12460	AT3G12460.1	""	NA	Polynucleotidyl transferase, ribonuclease H-like superfamily protein
AT3G12470	AT3G12470.1	""	NA	Polynucleotidyl transferase, ribonuclease H-like superfamily protein
AT3G12480	AT3G12480.1	NF-YC11	NA	nuclear factor Y, subunit C11
AT3G12490	AT3G12490.2	ATCYS6	1	cystatin B
AT3G12500	AT3G12500.1	ATHCHIB	NA	basic chitinase
AT3G12510	AT3G12510.1	""	NA	MADS-box family protein
AT3G12520	AT3G12520.1	SULTR4;2	1	sulfate transporter 4
AT3G12530	AT3G12530.1	PSF2	1	PSF2
AT3G12540	AT3G12540.1	""	NA	ternary complex factor MIP1 leucine-zipper protein (Protein of unknown function, DUF547)
AT3G12545	AT3G12545.1	""	NA	Bifunctional inhibitor/lipid-transfer protein/seed storage 2S albumin superfamily protein
AT3G12550	AT3G12550.1	FDM3	0.620439	XH/XS domain-containing protein
AT3G12560	AT3G12560.1	ATTBP2	1	TRF-like 9
AT3G12570	AT3G12570.1	FYD	1	FYD
AT3G12580	AT3G12580.1	ATHSP70	0.775337	heat shock protein 70
AT3G12587	AT3G12587.1	""	1	Oligosaccaryltransferase
AT3G12590	AT3G12590.1	""	1	hypothetical protein
AT3G12600	AT3G12600.1	atnudt16	0.467912	nudix hydrolase homolog 16
AT3G12610	AT3G12610.1	DRT100	NA	Leucine-rich repeat (LRR) family protein
AT3G12620	AT3G12620.1	""	0.066611	Protein phosphatase 2C family protein
AT3G12630	AT3G12630.1	SAP5	NA	A20/AN1-like zinc finger family protein
AT3G12640	AT3G12640.1	""	1	RNA binding (RRM/RBD/RNP motifs) family protein
AT3G12650	AT3G12650.1	""	NA	transmembrane protein
AT3G12660	AT3G12660.1	FLA14	NA	FASCICLIN-like arabinogalactan protein 14 precursor
AT3G12670	AT3G12670.1	CTPS2	0.770134	CTP synthase family protein
AT3G12680	AT3G12680.1	HUA1	1	floral homeotic protein (HUA1)
AT3G12685	AT3G12685.1	""	NA	Acid phosphatase/vanadium-dependent haloperoxidase-related protein
AT3G12690	AT3G12690.1	AGC1.5	1	AGC kinase 1.5
AT3G12700	AT3G12700.1	NANA	0.809855	Eukaryotic aspartyl protease family protein
AT3G12710	AT3G12710.1	""	NA	DNA glycosylase superfamily protein
AT3G12720	AT3G12720.1	ATMYB67	NA	myb domain protein 67
AT3G12730	AT3G12730.1	""	NA	Homeodomain-like superfamily protein
AT3G12740	AT3G12740.1	ALIS1	0.493994	ALA-interacting subunit 1
AT3G12750	AT3G12750.1	AtZIP1	NA	zinc transporter 1 precursor
AT3G12760	AT3G12760.1	""	1	defective in cullin neddylation protein
AT3G12770	AT3G12770.1	MEF22	NA	mitochondrial editing factor 22
AT3G12775	AT3G12775.1	""	NA	ubiquitin-conjugating enzyme family protein
AT3G12780	AT3G12780.1	PGK1	NA	phosphoglycerate kinase 1
AT3G12800	AT3G12800.1	DECR	1	short-chain dehydrogenase-reductase B
AT3G12810	AT3G12810.1	chr13	1	SNF2 domain-containing protein / helicase domain-containing protein
AT3G12820	AT3G12820.1	AtMYB10	NA	myb domain protein 10
AT3G12830	AT3G12830.1	SAUR72	NA	SAUR-like auxin-responsive protein family
AT3G12835	AT3G12835.1	""	NA	hypothetical protein
AT3G12840	AT3G12840.1	""	NA	F-box/FBD-like domain protein
AT3G12850	AT3G12850.1	""	NA	COP9 signalosome complex-related / CSN complex-like protein
AT3G12860	AT3G12860.1	""	1	NOP56-like pre RNA processing ribonucleoprotein
